                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5161,                 4.1606,                 1.6382,                0.04321,                0.05556,                0.04955,                0.02072,                 1.5988,                 3.6706,                 1.8855,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.8435,                 4.0759,                 1.7672,                0.04388,                0.05556,                0.06203,                0.02244,                 1.5597,                 3.5861,                 1.8746,               0.093631,              0.0006307,              0.0006307
                      2,                 1.5563,                  3.614,                 1.5501,                0.39386,                0.47712,                0.33307,                0.18551,                  1.281,                 2.3537,                 1.6804,               0.089882,              0.0008822,              0.0008822
                      3,                 1.3252,                 2.2237,                 1.4954,                0.68019,                0.66176,                0.67484,                0.43153,                 1.0472,                 1.7934,                 1.4526,               0.086055,              0.0010545,              0.0010545
                      4,                 1.2032,                 1.6111,                 1.2853,                0.58309,                0.75527,                0.71644,                0.46059,                0.94379,                 1.6609,                 1.3496,               0.082148,              0.0011476,              0.0011476
                      5,                 1.2095,                 1.3946,                 1.2811,                 0.7413,                0.74333,                0.74093,                0.48879,                0.89427,                 1.5193,                 1.2753,               0.078162,              0.0011615,              0.0011615
                      6,                 1.0167,                 1.3442,                 1.1777,                0.76787,                0.73875,                0.78085,                0.56186,                0.84732,                 1.4076,                 1.2126,               0.074096,              0.0010962,              0.0010962
                      7,                 0.9409,                 1.6561,                 1.1775,                0.86984,                0.77614,                0.83851,                0.61256,                0.83028,                 1.2272,                  1.177,               0.069952,              0.0009517,              0.0009517
                      8,                0.92349,                 1.1074,                  1.198,                0.89096,                0.80312,                0.86521,                0.65334,                0.80643,                 1.1366,                 1.1603,               0.065728,               0.000728,               0.000728
                      9,                0.97621,                0.99496,                 1.1977,                0.91763,                0.75544,                0.86546,                0.66909,                0.80504,                 1.0335,                 1.1508,               0.061425,              0.0004251,              0.0004251
